Reference,plumage,similar species 1,similar species 1 plumage,similar species 2,similar species 2 plumage,similar species 3,similar species 3 plumage,similar species 4,similar species 4 plumage,similar species 5,similar species plumage 5
species.gavia_stellata,adult summer,species.gavia_arctica,adult summer,,,,,,,,
species.gavia_stellata,adult winter,species.gavia_arctica,adult winter,species.podiceps_cristatus,winter,,,,,,
species.gavia_arctica,adult summer,species.gavia_stellata,adult summer,,,,,,,,
species.gavia_arctica,adult winter,species.gavia_stellata,adult winter,species.gavia_immer,adult winter,species.phalacrocorax_carbo,juvenile,,,,
species.gavia_immer,adult summer,species.gavia_adamsii,adult summer,,,,,,,,
species.gavia_immer,adult winter,species.gavia_adamsii,adult winter,species.gavia_arctica,adult winter,species.gavia_arctica,adult winter,,,,
species.gavia_adamsii,adult summer,species.gavia_immer,adult summer,,,,,,,,
species.gavia_adamsii,adult winter,species.gavia_immer,adult winter,species.gavia_arctica,adult winter,,,,,,
species.tachybaptus_ruficollis,adult summer,species.podiceps_auritus,adult summer,species.podiceps_nigricollis,adult summer,,,,,,
species.tachybaptus_ruficollis,adult winter,species.podiceps_nigricollis,adult winter,species.podiceps_auritus,adult winter,,,,,,
species.podilymbus_podiceps,adult summer,species.tachybaptus_ruficollis,adult winter,,,,,,,,
species.podilymbus_podiceps,winter,species.tachybaptus_ruficollis,adult winter,,,,,,,,
species.podiceps_grisegena,adult summer,species.podiceps_auritus,adult summer,species.podiceps_cristatus,winter,,,,,,
species.podiceps_grisegena,winter,species.podiceps_cristatus,winter,species.podiceps_auritus,adult winter,species.podiceps_nigricollis,adult winter,,,,
species.podiceps_cristatus,adult summer,species.podiceps_auritus,adult summer,species.podiceps_grisegena,winter,,,,,,
species.podiceps_cristatus,winter,species.podiceps_grisegena,winter,species.podiceps_auritus,adult winter,species.gavia_stellata,adult winter,,
species.podiceps_auritus,adult summer,species.podiceps_nigricollis,adult summer,species.podiceps_grisegena,adult summer,species.tachybaptus_ruficollis,adult summer,,
species.podiceps_auritus,adult winter,species.podiceps_auritus,adult winter,species.podiceps_nigricollis,adult winter,species.podiceps_grisegena,winter,,
species.podiceps_nigricollis,adult summer,species.podiceps_auritus,adult summer,species.tachybaptus_ruficollis,adult summer,,,,
species.podiceps_nigricollis,adult winter,species.tachybaptus_ruficollis,adult winter,species.podiceps_auritus,adult winter,,,,
species.fulmarus_glacialis,key-image,species.larus_argentatus,adult winter form1,species.calonectris_diomedea_borealis,key-image,,,,
species.calonectris_diomedea_borealis,key-image,species.calonectris_diomedea_diomedea,key-image,species.puffinus_gravis,key-image,species.fulmarus_glacialis,key-image,species.larus_argentatus,juvenile
species.calonectris_diomedea_diomedea,key-image,species.calonectris_diomedea_borealis,key-image,species.puffinus_gravis,key-image,species.fulmarus_glacialis,key-image,species.larus_argentatus,juvenile
species.puffinus_gravis,key-image,species.calonectris_diomedea_borealis,key-image,species.calonectris_diomedea_diomedea,key-image,species.morus_bassanus,juvenile,,
species.puffinus_griseus,key-image,species.puffinus_mauretanicus,key-image,species.bulweria_bulwerii,key-image,,,,
species.puffinus_puffinus,key-image,species.puffinus_yelkouan,key-image,species.puffinus_baroli,key-image,,,,
species.puffinus_mauretanicus,key-image,species.puffinus_yelkouan,key-image,species.puffinus_puffinus,key-image,species.puffinus_puffinus,key-image,,
species.puffinus_yelkouan,key-image,species.puffinus_puffinus,key-image,species.puffinus_baroli,key-image,species.puffinus_mauretanicus,key-image,,
species.puffinus_baroli,key-image,species.puffinus_puffinus,key-image,,,,,,
species.bulweria_bulwerii,key-image,species.puffinus_griseus,key-image,species.oceanodroma_monorhis,key-image,,,,
species.pterodroma_feae,key-image,species.pterodroma_madeira,key-image,species.fulmarus_glacialis,key-image,,,,
species.pterodroma_madeira,key-image,species.pterodroma_feae,key-image,species.fulmarus_glacialis,key-image,,,,,,
species.hydrobates_pelagicus,key-image,species.oceanites_oceanicus,key-image,species.oceanodroma_leucorhoa,key-image,species.oceanodroma_castro,key-image,species.delichon_urbicum,adult,,
species.oceanites_oceanicus,key-image,species.hydrobates_pelagicus,key-image,species.oceanodroma_leucorhoa,key-image,species.oceanodroma_castro,key-image,,,,
species.oceanodroma_leucorhoa,key-image,species.oceanodroma_castro,key-image,species.oceanites_oceanicus,key-image,species.hydrobates_pelagicus,key-image,species.oceanodroma_monorhis,key-image,,
species.oceanodroma_castro,key-image,species.oceanodroma_leucorhoa,key-image,species.oceanites_oceanicus,key-image,species.hydrobates_pelagicus,key-image,,,,
species.oceanodroma_monorhis,key-image,species.bulweria_bulwerii,key-image,species.oceanodroma_leucorhoa,key-image,,,,,,
species.pelagodroma_marina,key-image,species.hydrobates_pelagicus,key-image,species.phalaropus_lobatus,adult winter,,,,,,
species.morus_bassanus,adult winter,species.larus_argentatus,adult winter form1,species.thalassarche_melanophris,adult,,,,,,
species.morus_bassanus,juvenile,species.calonectris_diomedea_borealis,key-image,species.puffinus_gravis,key-image,species.sula_leucogaster,adult,species.thalassarche_melanophris,adult,species.larus_argentatus,juvenile
species.sula_leucogaster,adult,species.morus_bassanus,juvenile,species.phalacrocorax_carbo,juvenile,,,,,,
species.thalassarche_melanophris,adult,species.morus_bassanus,adult winter,species.larus_marinus,adult summer,,,,,,
species.pelecanus_onocrotalus,adult male spring,species.pelecanus_crispus,adult male spring,,,,,,,,
species.pelecanus_crispus,adult male spring,species.pelecanus_onocrotalus,adult male spring,,,,,,,,
species.phalacrocorax_carbo,adult breeding,species.phalacrocorax_aristotelis,adult breeding,species.phalacrocorax_pygmeus,adult breeding,,,,,,
species.phalacrocorax_carbo,juvenile,species.phalacrocorax_aristotelis,juvenile,,,,,,,,
species.phalacrocorax_aristotelis,adult breeding,species.phalacrocorax_carbo,adult breeding,,,,,,,,
species.phalacrocorax_aristotelis,juvenile,species.phalacrocorax_carbo,juvenile,,,,,,
species.phalacrocorax_pygmeus,adult breeding,species.phalacrocorax_carbo,adult breeding,species.phalacrocorax_aristotelis,adult breeding,,,,
species.ardea_cinerea,adult,species.ardea_purpurea,adult,species.nycticorax_nycticorax,adult,,,,
species.ardea_purpurea,adult,species.ardea_cinerea,adult,,,,,,
species.casmerodius_albus,adult summer,species.egretta_garzetta,adult summer,species.egretta_gularis,adult summer,species.platalea_leucorodia,adult breeding,,
species.egretta_garzetta,adult summer,species.egretta_gularis,adult summer,species.bubulcus_ibis,adult summer,species.casmerodius_albus,adult summer,,
species.egretta_gularis,adult summer,species.egretta_garzetta,adult summer,species.casmerodius_albus,adult summer,,,,
species.nycticorax_nycticorax,adult,species.ardea_cinerea,adult,species.butorides_striata,adult,species.ixobrychus_minutus,adult male,,
species.bubulcus_ibis,adult summer,species.egretta_garzetta,adult summer,species.casmerodius_albus,adult summer,,,,
species.ardeola_ralloides,adult summer,species.nycticorax_nycticorax,adult,species.ixobrychus_minutus,adult male,species.butorides_striata,adult,,
species.butorides_striata,adult,species.ixobrychus_minutus,adult male,species.nycticorax_nycticorax,adult,species.ardeola_ralloides,adult summer,,
species.ixobrychus_minutus,adult male,species.nycticorax_nycticorax,adult,species.butorides_striata,adult,,,,
species.botaurus_stellaris,key-image,species.botaurus_lentiginosus,adult,,,,,,
species.botaurus_lentiginosus,adult,species.botaurus_stellaris,key-image,,,,,,
species.ciconia_nigra,adult,species.ciconia_ciconia,adult,species.ardea_cinerea,adult,,,,
species.ciconia_ciconia,adult,species.ciconia_nigra,adult,species.platalea_leucorodia,adult breeding,species.casmerodius_albus,adult summer,species.phoenicopterus_roseus,juvenile
species.plegadis_falcinellus,adult summer,species.geronticus_eremita,adult,species.numenius_phaeopus,adult male,,,,,,
species.geronticus_eremita,adult,species.plegadis_falcinellus,adult summer,,,,,,,,
species.phoenicopterus_roseus,adult,species.casmerodius_albus,adult summer,species.ardea_cinerea,adult,,,,,,
species.phoenicopterus_roseus,juvenile,species.casmerodius_albus,adult summer,species.platalea_leucorodia,adult breeding,species.ciconia_ciconia,adult,,,,
species.platalea_leucorodia,adult breeding,species.casmerodius_albus,adult summer,species.ciconia_ciconia,adult,,,,,,
species.cygnus_olor,adult,species.cygnus_cygnus,adult,species.cygnus_columbianus,adult,,,,,,
species.cygnus_olor,juvenile,species.cygnus_cygnus,juvenile,species.cygnus_columbianus,juvenile,,,,,,
species.cygnus_cygnus,adult,species.cygnus_columbianus,adult,species.cygnus_olor,adult,,,,,,
species.cygnus_cygnus,juvenile,species.cygnus_columbianus,juvenile,species.cygnus_olor,juvenile,,,,,,
species.cygnus_columbianus,adult,species.cygnus_cygnus,adult,species.cygnus_olor,adult,,,,,,
species.cygnus_columbianus,juvenile,species.cygnus_cygnus,juvenile,species.cygnus_olor,juvenile,,,,,,
species.anser_fabalis,adult,species.anser_brachyrhynchus,adult,species.anser_anser,adult,species.anser_albifrons,adult,,,,
species.anser_brachyrhynchus,adult,species.anser_fabalis,adult,species.anser_albifrons,adult,species.anser_anser,adult,,,,
species.anser_albifrons,adult,species.anser_erythropus,adult,species.anser_brachyrhynchus,adult,species.anser_fabalis,adult,species.anser_anser,adult,,
species.anser_erythropus,adult,species.anser_albifrons,adult,species.anser_anser,adult,,,,,,
species.anser_anser,adult,species.anser_fabalis,adult,species.anser_brachyrhynchus,adult,species.anser_caerulescens,adult form1,species.anser_albifrons,adult,species.anser_erythropus,adult
species.anser_caerulescens,adult form1,species.anser_anser,adult,,,,
species.anser_caerulescens,adult form2,species.anser_indicus,adult,,,,
species.branta_canadensis,adult,species.branta_hutchinsii,adult,species.branta_leucopsis,adult,,
species.branta_hutchinsii,adult,species.branta_canadensis,adult,species.branta_leucopsis,adult,species.branta_bernicla,adult form1
species.branta_leucopsis,adult,species.branta_bernicla,adult form2,species.branta_canadensis,adult,,
species.branta_bernicla,adult form1,species.branta_leucopsis,adult,species.branta_canadensis,adult,,
species.branta_bernicla,adult form2,species.branta_leucopsis,adult,species.branta_canadensis,adult,,
species.branta_ruficollis,adult,species.branta_hutchinsii,adult,species.tadorna_tadorna,adult male,species.tadorna_ferruginea,adult male summer
species.alopochen_aegyptiaca,adult,species.tadorna_ferruginea,adult male summer,species.tadorna_tadorna,adult male,species.anser_indicus,adult
species.tadorna_tadorna,adult male,species.anas_clypeata,adult male,species.anser_indicus,adult,,
species.tadorna_ferruginea,adult male summer,species.tadorna_tadorna,adult male,,,,
species.anser_indicus,adult,species.anser_caerulescens,adult form2,,,,
species.aix_sponsa,male,species.aix_galericulata,male,species.lophodytes_cucullatus,adult male,,
species.aix_sponsa,female,species.aix_galericulata,female,species.lophodytes_cucullatus,adult female,,
species.aix_galericulata,male,species.aix_sponsa,male,,,,
species.aix_galericulata,female,species.aix_sponsa,female,,,,
species.anas_penelope,adult male,species.anas_americana,adult male,species.aythya_ferina,adult male winter,,
species.anas_penelope,adult female,species.anas_americana,adult female,species.anas_strepera,adult female,species.anas_acuta,adult female
species.anas_americana,adult male,species.anas_americana,adult male,,,,
species.anas_americana,adult female,species.anas_penelope,adult female,species.anas_strepera,adult female,species.anas_acuta,adult female
species.anas_strepera,adult male,species.anas_platyrhynchos,adult female,species.anas_acuta,adult male,,
species.anas_strepera,adult female,species.anas_platyrhynchos,adult female,species.anas_acuta,adult female,species.anas_crecca,adult female
species.anas_crecca,adult male,species.anas_carolinensis,adult male,species.anas_querquedula,adult male,,
species.anas_crecca,adult female,species.anas_querquedula,adult female,species.anas_strepera,adult female,species.anas_platyrhynchos,adult female
species.anas_carolinensis,adult male,species.anas_crecca,adult male,,,,
species.marmaronetta_angustirostris,adult,species.anas_acuta,adult female,species.anas_querquedula,adult female,,
species.anas_platyrhynchos,adult male,species.anas_clypeata,adult male,,,,
species.anas_platyrhynchos,adult female,species.anas_strepera,adult female,species.anas_querquedula,adult female,species.anas_clypeata,adult female
species.anas_rubripes,adult male,species.anas_platyrhynchos,adult female,,,,
species.anas_acuta,adult male,species.clangula_hyemalis,male winter,,,,
species.anas_acuta,adult female,species.anas_crecca,adult female,species.anas_platyrhynchos,adult female,,
species.anas_querquedula,adult male,species.anas_discors,adult male,species.anas_crecca,adult female,,
species.anas_querquedula,adult female,species.anas_crecca,adult female,species.anas_platyrhynchos,adult female,,,,
species.anas_clypeata,adult male,species.tadorna_tadorna,adult male,species.anas_discors,juvenile,,,,
species.anas_clypeata,adult female,species.anas_platyrhynchos,adult female,species.anas_discors,juvenile,,,,
species.anas_discors,adult male,species.anas_querquedula,adult male,species.anas_clypeata,adult female,,,,
species.anas_discors,juvenile,species.anas_clypeata,adult female,species.anas_querquedula,adult female,,,,
species.anas_formosa,adult male,species.anas_crecca,adult male,species.anas_penelope,adult male,,,,
species.anas_formosa,juvenile,species.anas_querquedula,adult female,species.anas_crecca,adult female,,,,
species.netta_rufina,adult male,species.aythya_ferina,adult male winter,,,,,,
species.netta_rufina,adult female,species.melanitta_nigra,juvenile,species.oxyura_leucocephala,female,species.oxyura_jamaicensis,adult female,species.melanitta_nigra,juvenile
species.aythya_ferina,adult male winter,species.anas_penelope,adult male,species.aythya_nyroca,adult male,species.aythya_valisineria,adult male,species.aythya_americana,adult male
species.aythya_ferina,adult female winter,species.aythya_fuligula,adult female winter,species.aythya_nyroca,adult female,species.netta_rufina,adult female,,
species.aythya_nyroca,adult male,species.aythya_ferina,adult male winter,species.aythya_fuligula,adult female winter,,,,
species.aythya_nyroca,adult female,species.aythya_nyroca,adult female,species.aythya_ferina,adult female winter,,,,
species.aythya_fuligula,adult male,species.aythya_marila,adult male,species.aythya_affinis,adult male,species.aythya_collaris,adult male,,
species.aythya_fuligula,adult female winter,species.aythya_marila,adult female winter,species.aythya_ferina,adult female winter,species.aythya_nyroca,adult female,,
species.aythya_marila,adult male,species.aythya_fuligula,adult male,species.aythya_affinis,adult male,,,,
species.aythya_marila,adult female winter,species.aythya_fuligula,adult female winter,species.aythya_affinis,adult female,,
species.aythya_affinis,adult male,species.aythya_marila,adult male,,key-image_species.aythya_hybrid,,
species.aythya_affinis,adult female,species.aythya_marila,adult female winter,,,,
species.aythya_collaris,adult male,species.aythya_fuligula,adult male,,,,
species.aythya_collaris,adult female,species.aythya_ferina,adult female winter,species.aythya_fuligula,adult female winter,,
species.aythya_valisineria,adult male,species.aythya_americana,adult male,species.aythya_ferina,adult male winter,,key-image_species.aythya_hybrid
species.aythya_valisineria,adult female,species.aythya_ferina,adult female winter,species.aythya_americana,adult female,,
species.aythya_americana,adult male,species.aythya_ferina,adult male winter,species.aythya_valisineria,adult male,,key-image_species.aythya_hybrid
species.aythya_americana,adult female,species.aythya_ferina,adult female winter,species.aythya_valisineria,adult female,,
species.somateria_mollissima,adult male,species.somateria_spectabilis,adult male,species.polysticta_stelleri,adult male,,
species.somateria_mollissima,adult female,species.somateria_spectabilis,adult female,species.polysticta_stelleri,adult female,species.anas_platyrhynchos,adult female
species.somateria_spectabilis,adult male,species.somateria_mollissima,adult male,species.polysticta_stelleri,adult male,,
species.somateria_spectabilis,adult female,species.somateria_mollissima,adult female,species.polysticta_stelleri,adult female,species.anas_platyrhynchos,adult female
species.polysticta_stelleri,adult male,species.somateria_mollissima,adult male,species.somateria_spectabilis,adult male,,
species.polysticta_stelleri,adult female,species.somateria_mollissima,adult female,species.somateria_spectabilis,adult female,species.anas_platyrhynchos,adult female
species.clangula_hyemalis,male winter,species.anas_acuta,adult male,,,,
species.clangula_hyemalis,female summer,species.anas_acuta,adult male,species.melanitta_nigra,juvenile,,
species.melanitta_nigra,adult male,species.melanitta_fusca,adult male,species.melanitta_perspicillata,adult male,species.melanitta_americana,adult male
species.melanitta_nigra,juvenile,species.melanitta_fusca,adult female,species.melanitta_perspicillata,adult female,species.netta_rufina,adult female
species.melanitta_americana,adult male,species.melanitta_nigra,adult male,,,,
species.melanitta_fusca,adult male,species.melanitta_nigra,adult male,species.melanitta_perspicillata,adult male,species.melanitta_deglandi,adult male
species.melanitta_fusca,adult female,species.melanitta_nigra,juvenile,species.melanitta_perspicillata,adult female,,
species.melanitta_perspicillata,adult male,species.melanitta_nigra,adult male,species.melanitta_fusca,adult male,,
species.melanitta_perspicillata,adult female,species.melanitta_nigra,juvenile,species.melanitta_fusca,adult female,,
species.melanitta_deglandi,adult male,species.melanitta_fusca,adult male,,,,
species.bucephala_clangula,adult male,species.bucephala_clangula,adult male,species.aythya_fuligula,adult male,,
species.bucephala_clangula,adult female,species.bucephala_islandica,adult female,species.aythya_fuligula,adult female winter,,
species.bucephala_islandica,adult male,species.bucephala_clangula,adult male,,,,
species.bucephala_islandica,adult female,species.bucephala_clangula,adult female,,,,
species.histrionicus_histrionicus,adult male,species.melanitta_nigra,juvenile,species.aix_sponsa,male,,
species.histrionicus_histrionicus,female,species.melanitta_perspicillata,adult female,species.bucephala_albeola,female,species.melanitta_fusca,adult female
species.mergellus_albellus,adult male,species.bucephala_clangula,adult male,species.bucephala_albeola,adult male,,
species.mergellus_albellus,adult female,species.melanitta_nigra,juvenile,species.netta_rufina,adult female
species.mergus_serrator,adult male,species.mergus_merganser,adult male,,
species.mergus_serrator,adult female,species.mergus_merganser,adult female,,
species.lophodytes_cucullatus,adult male,species.bucephala_albeola,adult male,,
species.lophodytes_cucullatus,adult female,species.mergus_serrator,adult female,,
species.bucephala_albeola,adult male,species.bucephala_clangula,adult male,species.mergellus_albellus,adult male
species.bucephala_albeola,female,species.histrionicus_histrionicus,female,species.melanitta_perspicillata,adult female
species.mergus_merganser,adult male,species.mergus_serrator,adult male,species.somateria_mollissima,adult male
species.mergus_merganser,adult female,species.mergus_serrator,adult female,,
species.oxyura_jamaicensis,adult male summer,species.oxyura_leucocephala,adult male summer,,
species.oxyura_jamaicensis,adult female,species.oxyura_leucocephala,female,species.melanitta_nigra,juvenile
species.oxyura_leucocephala,adult male summer,species.oxyura_jamaicensis,adult male summer,,
species.oxyura_leucocephala,female,species.oxyura_jamaicensis,adult female,species.melanitta_nigra,juvenile
species.gypaetus_barbatus,adult,species.neophron_percnopterus,adult,,
species.gypaetus_barbatus,juvenile,species.neophron_percnopterus,juvenile,,
species.gyps_fulvus,adult,species.aegypius_monachus,adult,species.gyps_rueppellii,immature
species.gyps_rueppellii,immature,species.gyps_fulvus,adult,,,,,,
species.aegypius_monachus,adult,species.gyps_fulvus,adult,species.torgos_tracheliotus,adult,species.neophron_percnopterus,juvenile,,
species.torgos_tracheliotus,adult,species.aegypius_monachus,adult,,,,,,
species.neophron_percnopterus,adult,species.ciconia_ciconia,adult,,,,,,
species.neophron_percnopterus,juvenile,species.gypaetus_barbatus,juvenile,species.aegypius_monachus,adult,species.milvus_migrans,adult,,
species.pandion_haliaetus,adult,species.buteo_buteo,adult,,,,,,
